feature,LOW_VOL_importance
bb_upper,0.061356924
mom_12m,0.051272076
vol_60d,0.038996384
bb_middle,0.033295766
macd_signal,0.032631766
z_vol,0.02830977
mom_12_1,0.024310103
bb_lower,0.022473393
macd,0.02003612
vol_20d,0.013719468
volume_std,0.010263226
atr_14,0.007825304
mom_6m,0.0071431235
mom_3m,0.0069764387
price_zscore_200d,0.0059883418
vol_trend,0.0045923223
bb_width,0.0025378324
atr_pct,0.0021495086
mean_rev_60d,0.0013536788
volume_trend,0.0009912475
mom_1m,0.00055914075
price_zscore_50d_z,0.000378911
price_zscore_50d,0.00026072533
mom_3m_rank_z,0.00025803474
mom_3m_rank_pct,0.00025551545
rsi_14,0.00021822192
bb_mean_rev,0.00020343583
rsi_mean_rev_z,0.00018680873
mom_6m_rank_z,0.00017848155
close_position,0.00017681772
mean_rev_20d,0.00017455875
macd_hist,0.0001697605
daily_range,0.00014829199
bb_pct,0.0001304836
mom_12_1_rank_z,0.00012100672
gap_pct,8.25314e-05
volume_z,6.569031e-05
volume_ratio,6.3494794e-05
alpha_combined,5.8258283e-05
log_return,0.0
mom_1m_rank_pct,0.0
mom_12_1_rank,0.0
mom_6m_rank,0.0
mom_3m_rank,0.0
vol_rank,0.0
rsi_mean_rev,0.0
price_zscore_20d,0.0
mom_decile,0.0
mom_1w,0.0
alpha_momentum,0.0
bb_mean_rev_z,0.0
alpha_mean_reversion,0.0
